"Actions,""Hành động"""
"Add Answer,""Thêm câu hỏi"""
"Add New Answer,""Thêm câu hỏi mới"""
"Add New Poll,""Thêm phiếu thăm dò mới"""
"Answer Title,""Tiêu đề trả lời"""
"Answer Title:,""Tiêu đề trả lời:"""
"Answer with the same title in this poll,""Trả lời cùng với tiêu đề trong phiếu thăm dò"""
"Are you sure you want to delete it?,""Bạn có chắc muốn xóa nó?"""
"Assigned Answers,""Câu trả lời được chỉ định"""
"Closed,""Đóng"""
"Community Poll,""Thăm dò ý kiến"""
"Date Closed,""Ngày đóng"""
"Date Posted,""Ngày đăng"""
"Delete,"'Xóa"""
"Delete Answer,""Xóa câu trả lời"""
"Delete Poll,""Xóa phiểu thăm dò"""
"Disallow Voting in a Poll Multiple Times from Same IP-address,""Không cho phép bình chọn nhiều lần từ cùng một địa chỉ IP"""
"Edit Answer %s,""Sửa câu trả lời %s"
"Edit Poll %s,""Sửa phiếu thăm dò %s"
"Edit Poll Answer,""Sửa câu trả lời phiếu thăm dò"""
"ID,""ID"""
"Invalid Answer.,""Câu trả lời không hợp lệ."""
"New Poll,""Phiếu thăm dò mới"""
"Number of Responses,""Số lượng phản hồi"""
"Open,""Mở"""
"Poll Answers,""Trả lời phiếu thăm dò"""
"Poll Information,""Thông tin phiếu thăm dò"""
"Poll Manager,""Quản lý phiếu thăm dò"""
"Poll Question,""Câu hỏi phiếu thăm dò"""
"Poll information,""Thông tin phiếu thăm dò"""
"Poll with the same question,""Phiếu thăm dò cùng một câu hỏi"""
"Polls,""Phiếu thăm dò"""
"Save Answer,""Lưu câu trả lời"""
"Save Poll,""Lưu phiếu thăm dò"""
"Status,""Trạng thái"""
"The answer has been saved.,""Câu trả lời đã được lưu."""
"The poll does not exist.,""Phiếu thăm dò không tồn tại."""
"Unable to find an answer to delete.,""Không thể tìm thấy câu trả lời để xóa."""
"Visible In,""Hiện thị ở"""
"Vote,""Bình chọn"""
"Votes Count,""Số lượng bình chọn"""
"Votes Count:,""Số lượng bình chọn:"""
