"-- Please select --","-- Vui lòng chọn --"
"Allowed Currencies","Đơn vị tiền tệ được phép"
"Base Currency","Cơ sở tiền tệ"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Cơ sở tiền tệ được sử dụng cho tất cả các giao dịch thanh toán trực tuyến. Phạm vi được xác định bởi phạm vi giá của danh mục sản phẩm (""Danh mục sản phẩm"" > ""Giá"" > ""Phạm vi giá của danh mục sản phẩm"")."
"Can\'t convert rate from ""%s-%s"".","Không thể chuyển đổi tỷ lệ từ ""%s-%s""."
"Cannot retrieve rate from %s.","Không thể truy xuất tỷ lệ từ %s."
"Connection Timeout in Seconds","Thời gian kết nối mất vài giây"
"Continue &raquo;","Tiếp tục &raquo;"
"Country","Quốc gia"
"Country API","Quốc gia API"
"Country and Format Type combination should be unique","Sự kết hợp giữa quốc gia và loại định dạng phải là duy nhất"
"Currency","Tiền tệ"
"Currency Options","Tùy chọn tiền tệ"
"Currency Setup","Thiết lập tiền tệ"
"CurrencyUpdate Warnings","Cảnh báo cập nhật tiền tệ"
"Default Display Currency","Hiển thị tiền tệ mặc định"
"Directory","Thư mục"
"Enabled","Kích hoạt"
"Error Email Recipient","Lỗi email người nhận"
"Error Email Sender","Lỗi email người gửi"
"Error Email Template","Lỗi bản mẫu email"
"FATAL ERROR:","LỖI NGHIÊM TRỌNG:"
"Frequency","Tần số"
"Installed Currencies","Cài đặt đơn vị tiền tệ"
"Invalid Import Service specified.","Nhập không hợp lệ.""Invalid country code: %s","Mã quốc gia không hợp lệ: %s"
"Invalid rates received","Tỷ lệ nhận không hợp lệ"
"Invalid target currency.","Tiền tệ mục tiêu không hợp lệ."
"List of countries","Danh sách các quốc gia"
"List of regions in specified country","Danh sách các vùng trong các nước chỉ định"
"Postal Code is Optional for the following countries","Mã bưu điện bắt buộc của các quốc gia sau đây"
"Region","Khu vực"
"Region API","Khu vưc API"
"Scheduled Import Settings","Thiết lập kế hoạch nhập"
"Select Your Currency","Chọn tiền tệ của bạn"
"Service","Dịch vụ"
"Start Time","Thời gian bắt đầu"
"State/Province","Tỉnh/Thành phố"
"Strikeiron Email Update Warnings","Cảnh báo cập nhật tấn công email"
"Unable to initialize the import model.","Không thể khởi tạo các mô hình nhập."
"Undefined rate from ""%s-%s"".","Không xác định tỷ lệ từ ""%s-%s""."
"WARNING:","CẢNH BÁO:"
"Webservicex","Dịch vụ web"
"Your current currency is: %s","Tiền tệ hiện tại của bạn là: %s"
