"Alert Email Sender","Cảnh báo người gửi email"
"Alert subscription has been saved.","Cảnh báo đăng kí đã được lưu."
"Allow Alert When Product Comes Back in Stock","Cho phép cảnh báo khi sản phẩm đính kèm trả về trong kho"
"Allow Alert When Product Price Changes","Cho phép cảnh báo khi giá sản phẩm thay đổi"
"Click here not to receive alerts for this product","Nhấn vào đây để nhận thông báo cho sản phẩm này"
"Error Email Recipient","Lỗi người nhận email"
"Error Email Sender","Lỗi người gửi email"
"Error Email Template","Lỗi mẫu email"
"Frequency","Tần suất"
"Not enough parameters.","Không đủ các thông số."
"Price Alert Email Template","Cảnh báo giá của mẫu email"
"Price:","Giá:"
"Product Alerts","Cảnh báo sản phẩm"
"Product Alerts Run Settings","Chạy cài đặt cảnh báo sản phẩm"
"Product alerts Cron error","Lỗi cảnh báo định kỳ sản phẩm"
"Product price alert","Cảnh báo giá sản phẩm"
"Product stock alert","Cảnh báo kho sản phẩm"
"Regular Price:","Giá thông thường:"
"Sign up for price alert","Đăng ký nhận cảnh báo"
"Sign up to get notified when this product is back in stock","Đăng ký nhận thông báo khi sản phẩm trả về kho"
"Special price:","Giá đặc biệt:"
"Start Time","Thời gian bắt đầu"
"Stock Alert Email Template","Cảnh báo kho mẫu email"
"The alert subscription has been deleted.","Đăng ký nhận cảnh báo đã xóa."
"The alert subscription has been saved.","Đăng ký nhận cảnh báo đã lưu."
"The product is not found.","Không tìm thấy sản phẩm."
"The product was not found.","Không tìm thấy sản phẩm."
"Unable to update the alert subscription.","Không thể cập nhật các đăng ký nhận cảnh báo."
"Unsubscribe from all price alerts","Hủy đăng ký tất cả các cảnh báo giá"
"Unsubscribe from all stock alerts","Hủy đăng ký tất cả các cảnh báo kho"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Bạn nhận được thông báo này vì bạn đã đăng ký nhận thông báo khi sản phẩm trả về kho:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Bạn nhận được thông báo này vì bạn đã đăng ký nhận thông báo khi giá sản phẩm thay đổi:"
"You will no longer receive price alerts for this product.","Bạn sẽ không nhận được cảnh báo giá cho sản phẩm này."
"You will no longer receive stock alerts for this product.","Bạn sẽ không nhận được cảnh báo kho cho sản phẩm này."
"You will no longer receive stock alerts.","Bạn sẽ không nhận được cảnh báo kho."
