"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" Không có sẵn trong số lượng yêu cầu. %s các mặt hàng sẽ được giao trễ."

"%s is available for purchase in increments of %s only.","%s chỉ có sẵn để mua trong từng bước của %s ."

"%s is not a correct comparsion method.","%s Không phải là phương pháp so sánh chính xác."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Lưu ý</strong> các thiết lập này được áp dụng cho các chi tiết đơn hàng, không phải toàn bộ giỏ hàng."

"Add Minimum Qty","Thêm số lượng tối thiểu"

"Allow Qty Below 0","Số lượng bằng 0"

"Allow Qty Below 0 and Notify Customer","Số lương bằng 0 và thông báo cho khách hàng"

"Automatically Return Credit Memo Item to Stock","Tự động trả về thẻ tín dụng để tích trữ"

"Backorders","Hàng tồn"

"By Fixed value","Bằng giá trị cố định"

"By Percentage","Theo tỉ lệ"

"Cannot specify product identifier for the order item.","Không thể xác định tên sản phẩm cho các mục đơn hàng."

"Catalog Inventory","Danh mục hàng tồn kho"

"Decrease Stock When Order is Placed","Giảm giá cho đơn hàng đã đặt"
"Manage Stock","Quản ly kho hàng"

"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa cho phép trong giỏ hàng"

"Minimum Qty","Số lượng tối thiểu"

"Minimum Qty Allowed in Shopping Cart","Số lượng tối thiểu cho phép trong giỏ hàng"

"No Backorders","Không có hàng tồn"

"Not all products are available in the requested quantity","Không phải tất cả các sản phẩm đều đủ số lượng yêu cầu"

"Notify for Quantity Below","Thông baó số lượng bên dưới"

"Only X left Threshold","Chỉ X bên trái ngưỡng"

"Out of Stock","Hết hàng"

"Product Stock Options","Tùy chọn kho sản phẩm"

"Qty Increments","Tăng số lượng"

"Qty for Item's Status to Become Out of Stock","Tình trạng số lượng hàng trở nên hết hàng"

"Retrieve stock data","Lấy dữ liệu kho hàng"
"Retrieve stock data by product ids","Lấy dữ liệu kho hàng bởi mã sản phẩm"
"Rule price","Giá cả"

"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Tình trạng tồn kho khi đơn hàng bị hủy"

"Some of the products are currently out of stock","Một số sản phẩm hiện đang hết hàng"

"Some of the products cannot be ordered in requested quantity.","Một số sản phẩm không thể được đặt hàng với số lượng yêu cầu."

"Some of the products cannot be ordered in the requested quantity.","Một số sản phẩm không thể được đặt hàng theo số lượng yêu cầu."

"Stock Options","Tùy chọn kho hàng"

"Stock Status"," Tình trạng kho hàng"
"The maximum quantity allowed for purchase is %s.","Số lượng tối đa cho phép mua là %s."

"The minimum quantity allowed for purchase is %s.","Số lượng tối thiểu được phép mua là %s."

"The requested quantity for ""%s"" is not available.","Số lượng yêu cầu ""%s "" không có sẵn."

"The stock item for Product in option is not valid.","Các sản phẩm trong kho không hợp lệ."

"The stock item for Product is not valid.","Các mục sản phẩm trong kho là không hợp lệ."

"This product is available for purchase in increments of %s only.","Các sản phẩm có trong giỏ hàng tăng %s ."

"This product is currently out of stock.","Sản phẩm này hiện đang hết hàng."

"This product is not available in the requested quantity. %s of the items will be backordered.","Sản phẩm này không đủ số lượng yêu cầu. % s các mặt hàng sẽ được giao trễ. "
"To Fixed Value","Giá trị cố định"

"To Percentage","Với tỷ lệ phần trăm"

"Undefined product type.","Loại sản phẩm không xác định."

"Update","Cập nhật"
.
"Update product stock data","Cập nhật dữ liệu sản phẩm trong kho"

"Update the Product","Cập nhật sản phẩm"
