"""%s"" contains not only digit characters."",""%s"" Không chỉ chứa kí tự số."
"""%s"" does not fit the entered date format."",""%s"" định dạng ngày tháng không phù hợp."
"""%s"" exceeds the allowed file size."",""%s"" vượt quá kích thước cho phép."
"""%s"" exceeds the allowed length."",""%s"" vượt quá độ dài cho phép."
"""%s"" has not only alphabetic and digit characters."",""%s"" có không chỉ các ký tự chữ cái và chữ số."
"""%s"" has not only alphabetic characters."",""%s"" có không chỉ các ký tự chữ cái."
"""%s"" height exceeds allowed value of %s px."",""%s"" chiều cao vượt quá giá trị của %s px."
"""%s"" invalid type entered."",""%s"" loại hình không phù hợp."
"""%s"" is a required value."",""%s"" là một giá trị cần thiết."
"""%s"" is an empty string."",""%s"" là một chuỗi rỗng."
"""%s"" is not a valid URL."",""%s"" không phải là một URL hợp lệ."
"""%s"" is not a valid date."",""%s"" không phải ngày hợp lệ."
"""%s"" is not a valid email address."",""%s"" là địa chỉ email không hợp lệ."
"""%s"" is not a valid file"",""%s""  là tập tin không hợp lệ"
"""%s"" is not a valid file extension."",""%s"" là phần mở rộng không hợp lệ."
"""%s"" is not a valid file."",""%s"" là tập tin không hợp lệ."
"""%s"" is not a valid hostname."",""%s"" tên máy chủ không hợp lệ."
"""%s"" is not a valid image format"",""%s"" không phải là một định dạng hình ảnh hợp lệ"
"""%s"" length must be equal or greater than %s characters."",""%s"" chiều dài phải bằng hoặc lớn hơn %s ký tự."
"""%s"" length must be equal or less than %s characters."",""%s"" chiều dài phải bằng hoặc ít hơn %s ký tự."
"""%s"" width exceeds allowed value of %s px."",""%s"" chiều rộng vượt quá giá trị cho phép %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' tên máy chủ DNS nhưng không thể truy xuất đến một phần của TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' dường như là một tên máy chủ DNS nhưng không thể phù hợp với danh sách TLD biết"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' dường như là một tên máy chủ DNS nhưng không thể phù hợp với sơ đồ tên máy chủ với TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' là tên máy chủ DNS nhưng có chứa một dấu gạch ngang ở một vị trí không hợp lệ"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' là tên máy chủ DNS nhưng các ký hiệu punycode không thể giải mã"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' là tên mạng cục bộ nhưng không được phép "
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' là địa chỉ IP, nhưng địa chỉ IP không được phép"
"'%value%' does not appear to be a valid URI hostname","'%value%' không phải là tên máy chủ URL hợp lệ"
"'%value%' does not appear to be a valid local network name","'%value%leejkhoong phải là tên mạng cục bộ hợp lệ"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' không phù hợp với cơ cấu dự kiến cho một máy chủ DNS"
"A joint field with this alias (%s) is already declared","Một lĩnh vực liên kết với bí danh này (%s) đã được công bố"
"Add Option","Thêm tùy chọn"
"An error occurred while loading a record, aborting. Error: %s","Đã xảy ra lỗi trong khi tải, hủy bỏ. Lỗi: %s"
"An error occurred while loading the collection, aborting. Error: %s","Đã xảy ra lỗi trong khi tải các bộ sưu tập, hủy bỏ. lỗi: %s"
"An error occurred while saving a record, aborting. Error: ","Đã xảy ra lỗi khi lưu một hồ sơ, hủy bỏ. lỗi: "
"Attempt to add an invalid object","Cố gắn thêm một đối tượng không hợp lệ"
