"Add","Thêm"
"Add gift message for shopping cart","Thêm tin quà tặng cho giỏ hàng"
"Add gift messages for quote item of shopping cart","Thêm các thông điệp quà tặng cho mục báo giá giỏ hàng"
"Add gift messages to products of shopping cart","Thêm các thông điệp quà tặng cho các sản phẩm trong giỏ hàng"
"Add gift options","Thêm lựa chọn quà tặng"
"Add gift options for Individual Items","Thêm người nhận và lời nhắn"
"Add gift options for the Entire Order","Thêm người nhận và lời nhắn"
"Add gift options.","Thêm lựa chọn quà tặng."
"Allow Gift Messages for Order Items","Cho phép nhắn tin quà tặng cho mục đặt hàng"
"Allow Gift Messages on Order Level","Cho phép nhắn tin quà tặng các ngày"
"An error occurred while saving the gift message.","Đã xảy ra lỗi khi lưu thông điệp quà."
"Are you sure?","Bạn có chắc chắn?"
"Cancel","Bỏ qua"
"Do you have any gift items in your order?","Bạn có mặt hàng quà tặng nào trong đơn hàng của bạn?"
"Edit","Sửa"
"From","Người gửi"
"Gift Message","Tin nhắn quà tặng"
"Gift Message API","Tin nhắn quà tặng API"
"Gift Options","Tùy chọn quà tặng"
"Gift Options for","Tùy chọn quà tặng cho "
"Gift Options for Individual Items","Mỗi sản phẩm thành một gói quà"
"Gift Options for the Entire Order.","Tất cả sản phẩm trong đơn hàng này thành 1 gói quà"
"Gift Options for this address.","Tùy chọn quà tặng cho địa chỉ này."
"Item %d of %d","SP %d của %d"
"Message","Lời nhắn"
"No","Không"
"OK"," Đồng ý"
"Save Gift Message","Lưu tin nhắn quà tặng"
"The gift message has been removed","Thông điệp món quà đã được gỡ bỏ"
"The gift message has been saved","The gift message has been saved"
"The gift message has been saved.","Thông điệp món quà đã được lưu."
"To","Người nhận"
"Unknown entity type","Không biết loại thực thể"
"Use config","Sử dụng cấu hình"
"Yes","Đồng ý"
"You can leave this box blank if you do not wish to add a gift message for the item.","Điền thông tin người gửi và người nhận, phần lời nhắn bạn có thể bỏ qua."
"You can leave this box blank if you do not wish to add a gift message for this address.","Điền thông tin người gửi và người nhận, phần lời nhắn bạn có thể bỏ qua."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Điền thông tin người gửi và người nhận, phần lời nhắn bạn có thể bỏ qua."
"Check this checkbox if you want to add gift messages.", "Gói thành quà tặng"
