"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Chú ý</strong>: Mã xác nhận nhạy cảm."

"After number of attempts to login","Sau nhiều lần cố gắng đăng nhập"

"Always","Luôn luôn"

"CAPTCHA"," MÃ XÁC NHẬN"

"CAPTCHA Timeout (minutes)","Thời gian chờ mã xác nhận (phút)"

"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","Mã xác nhận cho ""Create user"" and ""Forgot password"" luôn được kích hoạt nếu được chọn"

"Case Sensitive","Trường hợp mẫn sảm"

"Displaying Mode","Chế độ hiển thị"

"Enable CAPTCHA in Admin","Kích hoạt mã xác nhận cho quản trị"

"Enable CAPTCHA on Frontend","Kích hoạt mã xác nhận cho giao diện người dùng"

"Font","Phông chữ"

"Forms","Hình thức"

"If 0 is specified, CAPTCHA on the Login form will be always available.","Nếu 0 được xác định, mã xác nhận trên from Đăng nhập sẽ luôn có sẵn."

"Incorrect CAPTCHA."," Mã xác nhận sai."

"Number of Symbols","Kí hiệu số"

"Number of Unsuccessful Attempts to Login","Đăng nhập không thành công"

"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Vui lòng nhập nhiều nhất 8 kí tự (ví dụ 3-5) "

"Please type the letters below","Xin vui lòng nhập các ký tự bên dưới"

"Please type the letters from the image:","Please type the letters from the image:"

"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Vui lòng chỉ sử dụng chữ cái (az hoặc AZ) hoặc số (0-9) trong trường này. Không được phép nhập dấu cách hoặc ký tự khác. <br /> Ký tự tìm kiếm tương tự (ví dụ: "" i "", "" l "", "" 1 "") làm giảm cơ hội xác nhận của khách hàng."

"Reload captcha","Nạp lại mã xác nhận"

"Symbols Used in CAPTCHA","Các ký hiệu được sử dụng trong mã xác nhận"
