" Copy"," Copy"
"Action","Hoạt động"
"Add New Template","Thêm giao diện"
"Add to Queue","Thêm vào hàng đợi"
"Allow Guest Subscription","Cho phép khách đăng ký"
"An error occurred while saving your subscription.","Đã xảy ra lỗi khi lưu đăng ký của bạn."
"Are you sure that you want to delete this template?","Bạn có chắc chắn rằng bạn muốn xóa mẫu này?"
"Are you sure that you want to strip all tags?","Bạn có chắc chắn rằng bạn muốn gỡ bỏ tất cả các thẻ?"
"Back","Quay lại"
"Cancel","Hủy"
"Cancelled","Đã hủy"
"Cannot mark as received subscriber.","Không thể đánh dấu như là đăng ký đã nhận được."
"Confirmation Email Sender","Chứng nhận Email người gửi"
"Confirmation Email Template","Chứng nhận tiêu bản Email"
"Confirmation request has been sent.","Yêu cầu xác nhận đã được gửi đi."
"Convert to Plain Text","Nhập liệu dạng văn bản"
"Create Newsletter Template","Tạo giao diện gửi đi"
"Customer","Khách hàng"
"Customer First Name","Tên"
"Customer Last Name","Họ"
"Customer My Account Newsletter Subscriptions","Khách hàng đăng ký nhận bản tin tài khoản của tôi"
"Date Added","Ngày thêm"
"Date Updated","Ngày cập nhật"
"Delete","Xóa"
"Delete Selected Problems","Xóa các mục được chọn"
"Delete Template","Xóa mẫu"
"Do you really want to cancel the queue?","Bạn có thực sự muốn hủy bỏ các hàng đợi?"
"Duplicate template code.","Bị trùng mã giao diện."
"Edit Newsletter","Sửa bản tin"
"Edit Newsletter Template","Sửa giao diện bản tin"
"Edit Queue","Chỉnh sửa hàng đợi"
"Edit Template","Sửa giao diện"
"Email","Email"
"Enter your email address","Nhập địa chỉ email của bạn"
"Error Code","Lỗi mã số"
"Error Text"," Lỗi văn bản"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Để bỏ đăng ký vào liên kết này <!-- Liên kết hủy bỏ đăng kí --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Khách"
"ID","Mã số"
"Invalid queue selected.","Hàng đợi được chọn không hợp lệ."
"Invalid subscription ID.","ID đăng ký không hợp lệ."
"Invalid subscription confirmation code.","Mã xác nhận đăng ký không hợp lệ."
"Message","Tin nhắn"
"Need to Confirm","Cần phải Xác nhận"
"New Newsletter Template","Bản tin mới "
"New Template","Hồ sơ mẫu mới"
"Newsletter","Bản tin điện tử"
"Newsletter Message Preview","Xem trước tin nhắn"
"Newsletter Problem Reports","Báo cáo vấn đề bản tin"
"Newsletter Queue","Bản tin "
"Newsletter Section"," Mục bản tin"
"Newsletter Sign-up:","Đăng kí bản tin:"
"Newsletter Styles","Loại bản tin"
"Newsletter Subscribers","Đăng ký nhận bản tin"
"Newsletter Subscription","Đăng ký nhận bản tin"
"Newsletter Subscription Form Before","Mẫu đăng ký nhận bản tin"
"Newsletter Subscriptions","Đăng ký nhận bản tin"
"Newsletter Templates","Mẫu bản tin"
"Newsletter subscription confirmation","Xác nhận đăng ký bản tin"
"Newsletter subscription success","Đăng ký nhận bản tin thành công"
"Newsletter unsubscription success","Hủy đăng ký bản tin thành công"
"No Templates Found","Không tìm thấy giao diện"
"No problems found.","Không tìm thấy vấn đề."
"No subscribers selected.","Không chọn đăng ký."
"Not Activated","Không được kích hoạt"
"Not Sent","Không gửi"
"Pause","Tạm dừng"
"Paused","Đã tạm dừng"
